   84     1.0515   8.1600  -0.17388E+00  -0.22521E-03   0.13720E+00   0.93693E+01   0.22828E+00
   85     1.0693   8.2277  -0.17727E+00  -0.34437E-03   0.13708E+00   0.93016E+01   0.23132E+00
   86     1.0873   8.2947  -0.18070E+00  -0.46824E-03   0.13696E+00   0.92346E+01   0.23439E+00
   87     1.1055   8.3610  -0.18417E+00  -0.59781E-03   0.13683E+00   0.91680E+01   0.23748E+00
   88     1.1238   8.4267  -0.18767E+00  -0.73267E-03   0.13669E+00   0.91020E+01   0.24059E+00
   89     1.1423   8.4916  -0.19120E+00  -0.87202E-03   0.13655E+00   0.90366E+01   0.24373E+00
   90     1.1609   8.5559  -0.19477E+00  -0.10160E-02   0.13641E+00   0.89717E+01   0.24688E+00
   91     1.1797   8.6194  -0.19838E+00  -0.11647E-02   0.13626E+00   0.89074E+01   0.25005E+00
   92     1.1986   8.6823  -0.20202E+00  -0.13195E-02   0.13610E+00   0.88435E+01   0.25323E+00
   93     1.2177   8.7445  -0.20571E+00  -0.14811E-02   0.13594E+00   0.87803E+01   0.25642E+00
   94     1.2370   8.8061  -0.20943E+00  -0.16497E-02   0.13577E+00   0.87176E+01   0.25963E+00
   95     1.2565   8.8669  -0.21320E+00  -0.18251E-02   0.13560E+00   0.86555E+01   0.26285E+00
   96     1.2761   8.9272  -0.21701E+00  -0.20061E-02   0.13542E+00   0.85939E+01   0.26611E+00
   97     1.2959   8.9867  -0.22084E+00  -0.21920E-02   0.13523E+00   0.85328E+01   0.26938E+00
   98     1.3158   9.0456  -0.22472E+00  -0.23837E-02   0.13504E+00   0.84722E+01   0.27267E+00
   99     1.3360   9.1039  -0.22863E+00  -0.25818E-02   0.13484E+00   0.84121E+01   0.27596E+00
  100     1.3563   9.1615  -0.23258E+00  -0.27876E-02   0.13464E+00   0.83525E+01   0.27924E+00
  101     1.3767   9.2185  -0.23658E+00  -0.29999E-02   0.13442E+00   0.82936E+01   0.28254E+00
  102     1.3974   9.2748  -0.24062E+00  -0.32188E-02   0.13420E+00   0.82351E+01   0.28589E+00
  103     1.4183   9.3305  -0.24469E+00  -0.34441E-02   0.13398E+00   0.81772E+01   0.28926E+00
  104     1.4393   9.3856  -0.24880E+00  -0.36759E-02   0.13375E+00   0.81198E+01   0.29264E+00
  105     1.4605   9.4401  -0.25296E+00  -0.39148E-02   0.13351E+00   0.80629E+01   0.29602E+00
  106     1.4819   9.4940  -0.25715E+00  -0.41604E-02   0.13326E+00   0.80065E+01   0.29939E+00
  107     1.5035   9.5472  -0.26139E+00  -0.44136E-02   0.13301E+00   0.79506E+01   0.30277E+00
  108     1.5252   9.5999  -0.26566E+00  -0.46725E-02   0.13275E+00   0.78952E+01   0.30616E+00
  109     1.5472   9.6519  -0.26997E+00  -0.49383E-02   0.13249E+00   0.78403E+01   0.30954E+00
  110     1.5693   9.7034  -0.27432E+00  -0.52113E-02   0.13221E+00   0.77859E+01   0.31293E+00
  111     1.5917   9.7542  -0.27871E+00  -0.54915E-02   0.13193E+00   0.77319E+01   0.31634E+00
  112     1.6142   9.8045  -0.28314E+00  -0.57805E-02   0.13164E+00   0.76785E+01   0.31978E+00
